,National_ID,Age,Gender,Region,Income_Level,Household_Dependents,Monthly_Energy_Consumption_kWh,Subsidy_Eligibility,Subsidy_Type,Amount_NGN,Channel,Date,Wallet_Activity_Status,Wallet_Balance_NGN,Days_Since_Last_Transaction,Avg_Monthly_Wallet_Balance,Suspected_Fraud
22528,ID02773,48,Female,Kano,Low,9,107,1,Cash Transfer,6378,Mobile Wallet,2022-03-11,Suspicious,4036.0,4.0,1263.0,1
22563,ID02776,36,Female,Yobe,Low,1,112,0,Fuel,5497,Mobile Wallet,2021-07-02,Inactive,6754.0,71.0,5215.0,1
22573,ID02777,51,Male,Kaduna,Middle,1,71,0,Cash Transfer,4952,Mobile Wallet,2021-07-28,Suspicious,2294.0,91.0,4092.0,1
22604,ID02780,19,Male,Rivers,Middle,4,104,0,Cash Transfer,5104,Mobile Wallet,2019-09-19,Inactive,3123.0,13.0,6559.0,1
22671,ID02789,52,Male,Kano,Low,4,103,1,Cash Transfer,6740,Mobile Wallet,2019-07-11,Inactive,7006.0,94.0,5456.0,1
22672,ID02789,52,Male,Kano,Low,4,103,1,Cash Transfer,7785,Mobile Wallet,2023-09-06,Inactive,6244.0,31.0,3898.0,1
22675,ID02789,52,Male,Kano,Low,4,103,1,Fuel,5256,Mobile Wallet,2020-07-12,Inactive,6492.0,63.0,1844.0,1
22687,ID02791,26,Male,Kano,Middle,8,137,0,Cash Transfer,5355,Mobile Wallet,2019-03-26,Inactive,4757.0,13.0,1248.0,1
22711,ID02793,63,Female,Yobe,Middle,9,164,0,Cash Transfer,5758,Mobile Wallet,2020-07-22,Suspicious,5416.0,85.0,3113.0,1
22823,ID02809,53,Male,Yobe,Middle,1,91,0,Cash Transfer,5648,Mobile Wallet,2023-03-12,Inactive,8273.0,21.0,3686.0,1
22859,ID02813,54,Female,Yobe,Low,5,65,1,Fuel,4945,Mobile Wallet,2020-09-16,Suspicious,6138.0,61.0,1106.0,1
22872,ID02813,54,Female,Yobe,Low,5,65,1,Fuel,4718,Mobile Wallet,2019-05-26,Inactive,2733.0,51.0,4621.0,1
23012,ID02831,27,Male,Oyo,Low,5,70,1,Cash Transfer,7912,Mobile Wallet,2021-08-17,Inactive,8890.0,70.0,3208.0,1
23045,ID02836,30,Female,Kano,Middle,5,130,0,Cash Transfer,4825,Mobile Wallet,2019-07-25,Suspicious,3899.0,39.0,3438.0,1
23054,ID02836,30,Female,Kano,Middle,5,130,0,Cash Transfer,5316,Mobile Wallet,2020-10-22,Inactive,2583.0,32.0,3365.0,1
23071,ID02840,62,Female,Kaduna,Low,1,42,0,Cash Transfer,8375,Mobile Wallet,2022-03-31,Inactive,1326.0,7.0,3166.0,1
23073,ID02840,62,Female,Kaduna,Low,1,42,0,Fuel,5723,Mobile Wallet,2020-07-14,Suspicious,5080.0,84.0,4652.0,1
23080,ID02841,38,Male,Rivers,Low,1,111,0,Cash Transfer,6958,Mobile Wallet,2021-10-01,Suspicious,1164.0,49.0,4381.0,1
23106,ID02845,49,Female,Yobe,Middle,9,79,0,Cash Transfer,5215,Mobile Wallet,2023-04-11,Suspicious,4007.0,87.0,6675.0,1
23117,ID02847,34,Male,Kano,Middle,3,76,0,Cash Transfer,5675,Mobile Wallet,2019-12-10,Suspicious,7663.0,35.0,4315.0,1
23125,ID02848,52,Male,Kaduna,Middle,9,131,0,Cash Transfer,5567,Mobile Wallet,2023-06-26,Suspicious,7303.0,66.0,157.0,1
23152,ID02853,43,Female,Oyo,Middle,2,102,0,Cash Transfer,4944,Mobile Wallet,2023-07-08,Inactive,6157.0,71.0,7469.0,1
23200,ID02859,57,Male,Kano,Low,3,95,0,Fuel,5744,Mobile Wallet,2022-05-11,Inactive,6257.0,62.0,1030.0,1
23222,ID02862,46,Female,Lagos,Middle,2,102,0,Cash Transfer,4942,Mobile Wallet,2020-12-07,Inactive,4670.0,8.0,3826.0,1
23247,ID02865,55,Female,Oyo,Low,3,78,0,Fuel,5383,Mobile Wallet,2023-10-29,Inactive,6873.0,22.0,1635.0,1
23249,ID02865,55,Female,Oyo,Low,3,78,0,Cash Transfer,7921,Mobile Wallet,2020-01-26,Inactive,5658.0,63.0,3368.0,1
23253,ID02865,55,Female,Oyo,Low,3,78,0,Cash Transfer,8347,Mobile Wallet,2021-04-02,Suspicious,5816.0,81.0,3288.0,1
23256,ID02865,55,Female,Oyo,Low,3,78,0,Cash Transfer,7465,Mobile Wallet,2023-12-24,Inactive,4459.0,11.0,3319.0,1
23307,ID02870,66,Male,Yobe,Low,5,101,1,Fuel,5746,Mobile Wallet,2021-12-15,Inactive,7353.0,26.0,2852.0,1
23333,ID02872,34,Male,Yobe,Middle,2,115,0,Cash Transfer,5160,Mobile Wallet,2021-08-17,Suspicious,2868.0,8.0,3609.0,1
23366,ID02876,19,Female,Lagos,Low,4,117,1,Cash Transfer,8294,Mobile Wallet,2023-01-06,Inactive,4564.0,71.0,4080.0,1
23411,ID02882,57,Male,Kaduna,Low,7,114,1,Cash Transfer,8187,Mobile Wallet,2020-07-18,Inactive,2404.0,2.0,4200.0,1
23415,ID02882,57,Male,Kaduna,Low,7,114,1,Cash Transfer,7112,Mobile Wallet,2023-04-25,Inactive,1752.0,92.0,4670.0,1
23472,ID02891,32,Female,Kano,Low,6,140,1,Fuel,4817,Mobile Wallet,2021-08-29,Inactive,5007.0,29.0,5637.0,1
23480,ID02891,32,Female,Kano,Low,6,140,1,Cash Transfer,7104,Mobile Wallet,2022-01-23,Suspicious,3562.0,23.0,955.0,1
23490,ID02892,34,Female,Kano,Middle,9,92,0,Cash Transfer,5111,Mobile Wallet,2023-05-02,Suspicious,7766.0,55.0,1201.0,1
23525,ID02896,36,Male,Oyo,Low,7,63,1,Cash Transfer,6179,Mobile Wallet,2023-10-13,Inactive,7074.0,87.0,1976.0,1
23609,ID02908,18,Male,Oyo,Low,3,134,0,Fuel,5371,Mobile Wallet,2020-08-17,Suspicious,6480.0,80.0,3838.0,1
23611,ID02908,18,Male,Oyo,Low,3,134,0,Fuel,4921,Mobile Wallet,2022-09-24,Inactive,3989.0,0.0,3373.0,1
23614,ID02908,18,Male,Oyo,Low,3,134,0,Cash Transfer,7778,Mobile Wallet,2022-07-28,Inactive,7718.0,71.0,4577.0,1
23648,ID02911,41,Female,Yobe,Low,4,139,1,Cash Transfer,7367,Mobile Wallet,2022-01-10,Inactive,5456.0,34.0,3588.0,1
23650,ID02911,41,Female,Yobe,Low,4,139,1,Cash Transfer,6889,Mobile Wallet,2020-04-02,Inactive,4763.0,22.0,2787.0,1
23653,ID02912,52,Female,Kaduna,Low,1,84,0,Fuel,5749,Mobile Wallet,2019-02-27,Suspicious,3877.0,84.0,4116.0,1
23659,ID02913,41,Female,Kano,Low,4,126,1,Cash Transfer,8075,Mobile Wallet,2021-03-29,Inactive,6320.0,49.0,8108.0,1
23660,ID02913,41,Female,Kano,Low,4,126,1,Cash Transfer,7072,Mobile Wallet,2020-07-16,Suspicious,2804.0,97.0,5373.0,1
23666,ID02915,22,Male,Rivers,Low,8,102,1,Fuel,5613,Mobile Wallet,2023-05-13,Inactive,4757.0,68.0,3266.0,1
23674,ID02915,22,Male,Rivers,Low,8,102,1,Cash Transfer,6471,Mobile Wallet,2023-01-12,Suspicious,3924.0,78.0,5685.0,1
23695,ID02918,57,Male,Kano,Middle,5,81,0,Cash Transfer,4700,Mobile Wallet,2021-10-19,Suspicious,4762.0,49.0,4525.0,1
23761,ID02927,68,Male,Kaduna,Middle,4,72,0,Cash Transfer,5454,Mobile Wallet,2022-08-19,Inactive,5715.0,91.0,375.0,1
23878,ID02941,45,Male,Yobe,Low,5,58,1,Fuel,4983,Mobile Wallet,2019-03-11,Inactive,4834.0,39.0,4390.0,1
23898,ID02943,48,Male,Lagos,Low,9,134,1,Fuel,4986,Mobile Wallet,2022-05-15,Inactive,7752.0,10.0,4786.0,1
23997,ID02956,58,Male,Yobe,Low,5,123,1,Fuel,5423,Mobile Wallet,2023-08-31,Suspicious,3977.0,38.0,5069.0,1
24025,ID02959,67,Male,Kaduna,Low,8,134,1,Cash Transfer,7143,Mobile Wallet,2022-05-18,Inactive,7712.0,13.0,5069.0,1
24072,ID02965,57,Male,Lagos,Middle,5,104,0,Cash Transfer,5059,Mobile Wallet,2022-07-25,Inactive,4462.0,63.0,585.0,1
24082,ID02966,19,Male,Lagos,Low,7,96,1,Fuel,4869,Mobile Wallet,2022-05-26,Suspicious,2552.0,46.0,4633.0,1
24083,ID02967,30,Male,Oyo,Middle,2,87,0,Cash Transfer,4570,Mobile Wallet,2023-10-01,Inactive,9077.0,54.0,2529.0,1
24084,ID02967,30,Male,Oyo,Middle,2,87,0,Cash Transfer,4868,Mobile Wallet,2023-06-17,Inactive,3744.0,44.0,4005.0,1
24087,ID02968,49,Male,Kano,Low,2,76,0,Cash Transfer,7840,Mobile Wallet,2019-03-08,Inactive,6335.0,55.0,3176.0,1
24093,ID02968,49,Male,Kano,Low,2,76,0,Cash Transfer,7944,Mobile Wallet,2023-06-08,Inactive,6040.0,61.0,461.0,1
24107,ID02971,49,Male,Kaduna,Low,5,124,1,Cash Transfer,7833,Mobile Wallet,2021-09-18,Suspicious,4872.0,0.0,6614.0,1
24170,ID02979,35,Female,Kano,Low,2,158,0,Fuel,5278,Mobile Wallet,2023-05-19,Inactive,3632.0,66.0,4564.0,1
24176,ID02979,35,Female,Kano,Low,2,158,0,Cash Transfer,7907,Mobile Wallet,2022-07-28,Inactive,9055.0,41.0,5393.0,1
24223,ID02983,31,Male,Yobe,Low,2,109,0,Cash Transfer,7876,Mobile Wallet,2023-06-21,Inactive,5782.0,47.0,5326.0,1
24226,ID02983,31,Male,Yobe,Low,2,109,0,Cash Transfer,7713,Mobile Wallet,2023-06-20,Inactive,3497.0,60.0,3686.0,1
24264,ID02986,39,Male,Rivers,Low,2,150,0,Fuel,5745,Mobile Wallet,2021-10-17,Suspicious,4019.0,34.0,4644.0,1
24312,ID02991,61,Male,Lagos,Low,4,92,1,Fuel,4904,Mobile Wallet,2021-04-05,Inactive,2915.0,30.0,7295.0,1
24319,ID02991,61,Male,Lagos,Low,4,92,1,Fuel,5798,Mobile Wallet,2020-10-06,Inactive,4387.0,93.0,0.0,1
24327,ID02992,49,Male,Lagos,Low,2,73,0,Cash Transfer,5940,Mobile Wallet,2022-01-20,Inactive,3941.0,22.0,3507.0,1
24358,ID02996,38,Male,Kano,Middle,6,108,0,Cash Transfer,5097,Mobile Wallet,2022-07-21,Inactive,2348.0,91.0,3306.0,1
24368,ID02997,52,Male,Kano,Middle,9,68,0,Cash Transfer,5823,Mobile Wallet,2019-04-27,Inactive,8515.0,33.0,4514.0,1
24439,ID03003,58,Male,Kano,Low,9,68,1,Fuel,5992,Mobile Wallet,2020-08-24,Inactive,6533.0,50.0,6593.0,1
24490,ID03010,63,Male,Kano,Middle,7,76,0,Cash Transfer,5696,Mobile Wallet,2022-08-23,Inactive,6338.0,33.0,3968.0,1
24526,ID03016,49,Female,Kaduna,Low,4,96,1,Cash Transfer,5895,Mobile Wallet,2021-08-31,Inactive,2166.0,64.0,3272.0,1
24528,ID03016,49,Female,Kaduna,Low,4,96,1,Fuel,5922,Mobile Wallet,2021-04-02,Inactive,5550.0,52.0,3334.0,1
24566,ID03020,60,Female,Oyo,Low,2,119,0,Cash Transfer,8218,Mobile Wallet,2022-03-07,Inactive,7923.0,24.0,5933.0,1
24589,ID03022,39,Male,Rivers,Low,4,117,1,Fuel,5923,Mobile Wallet,2022-05-22,Inactive,6528.0,98.0,5521.0,1
24604,ID03023,45,Female,Kano,Low,7,124,1,Fuel,5863,Mobile Wallet,2020-03-04,Inactive,5145.0,63.0,4522.0,1
24636,ID03026,35,Female,Yobe,Middle,7,110,0,Cash Transfer,4630,Mobile Wallet,2020-06-03,Suspicious,5278.0,0.0,4423.0,1
24645,ID03026,35,Female,Yobe,Middle,7,110,0,Cash Transfer,4637,Mobile Wallet,2019-09-15,Inactive,1429.0,74.0,5480.0,1
24654,ID03027,19,Female,Lagos,Middle,4,118,0,Cash Transfer,5731,Mobile Wallet,2022-02-19,Inactive,7432.0,93.0,2747.0,1
24725,ID03034,48,Male,Oyo,Middle,5,80,0,Cash Transfer,5094,Mobile Wallet,2021-02-04,Inactive,8955.0,87.0,6186.0,1
24778,ID03041,39,Female,Yobe,Low,6,66,1,Cash Transfer,8256,Mobile Wallet,2020-05-15,Inactive,7298.0,57.0,2481.0,1
24787,ID03043,54,Male,Yobe,Low,8,75,1,Cash Transfer,7678,Mobile Wallet,2021-09-16,Inactive,7104.0,42.0,6199.0,1
24790,ID03043,54,Male,Yobe,Low,8,75,1,Fuel,4519,Mobile Wallet,2019-08-01,Inactive,3387.0,14.0,4145.0,1
24791,ID03043,54,Male,Yobe,Low,8,75,1,Fuel,4631,Mobile Wallet,2020-05-14,Inactive,3192.0,55.0,5416.0,1
24904,ID03061,61,Male,Kano,Low,9,106,1,Cash Transfer,7707,Mobile Wallet,2021-01-12,Inactive,5807.0,61.0,4982.0,1
24922,ID03063,20,Female,Lagos,Middle,1,91,0,Cash Transfer,5659,Mobile Wallet,2022-06-19,Inactive,2478.0,45.0,2579.0,1
24972,ID03069,59,Male,Oyo,Low,8,115,1,Cash Transfer,7242,Mobile Wallet,2019-12-05,Suspicious,6533.0,72.0,2969.0,1
25148,ID03095,28,Male,Kaduna,Low,7,111,1,Fuel,5148,Mobile Wallet,2020-10-21,Inactive,4994.0,11.0,3864.0,1
25159,ID03097,68,Female,Rivers,Low,6,126,1,Fuel,5421,Mobile Wallet,2020-10-13,Suspicious,2718.0,38.0,3538.0,1
25215,ID03103,64,Male,Yobe,Low,9,136,1,Cash Transfer,8343,Mobile Wallet,2021-09-26,Inactive,2394.0,60.0,1399.0,1
25218,ID03103,64,Male,Yobe,Low,9,136,1,Fuel,5540,Mobile Wallet,2019-01-04,Inactive,6218.0,96.0,4949.0,1
25219,ID03103,64,Male,Yobe,Low,9,136,1,Cash Transfer,6884,Mobile Wallet,2022-05-27,Inactive,3852.0,24.0,5828.0,1
25288,ID03112,38,Female,Kaduna,Low,5,75,1,Cash Transfer,5631,Mobile Wallet,2020-02-23,Suspicious,4238.0,40.0,4525.0,1
25378,ID03124,21,Female,Lagos,Low,7,85,1,Fuel,5831,Mobile Wallet,2019-09-08,Inactive,2157.0,60.0,4865.0,1
25380,ID03124,21,Female,Lagos,Low,7,85,1,Cash Transfer,6493,Mobile Wallet,2023-12-22,Inactive,2679.0,8.0,3752.0,1
25386,ID03124,21,Female,Lagos,Low,7,85,1,Cash Transfer,7337,Mobile Wallet,2021-08-02,Suspicious,7820.0,50.0,1979.0,1
25407,ID03126,31,Male,Yobe,Low,8,87,1,Cash Transfer,6140,Mobile Wallet,2023-09-20,Inactive,2402.0,17.0,3581.0,1
25427,ID03129,54,Female,Yobe,Low,3,86,0,Fuel,5684,Mobile Wallet,2023-07-08,Inactive,4092.0,17.0,3112.0,1
25431,ID03129,54,Female,Yobe,Low,3,86,0,Fuel,4942,Mobile Wallet,2023-08-25,Inactive,5392.0,89.0,2148.0,1
25432,ID03129,54,Female,Yobe,Low,3,86,0,Cash Transfer,7248,Mobile Wallet,2023-07-20,Inactive,911.0,94.0,2774.0,1
25452,ID03131,69,Female,Oyo,Low,2,100,0,Fuel,5487,Mobile Wallet,2022-06-14,Suspicious,3085.0,49.0,5423.0,1
25511,ID03140,66,Male,Rivers,Low,7,113,1,Cash Transfer,6741,Mobile Wallet,2019-11-28,Inactive,6934.0,18.0,2915.0,1
25529,ID03145,62,Female,Lagos,Low,8,52,1,Cash Transfer,7360,Mobile Wallet,2020-02-29,Inactive,6139.0,12.0,4433.0,1
25536,ID03145,62,Female,Lagos,Low,8,52,1,Cash Transfer,5602,Mobile Wallet,2020-07-12,Suspicious,3560.0,99.0,4812.0,1
25537,ID03145,62,Female,Lagos,Low,8,52,1,Cash Transfer,6241,Mobile Wallet,2022-02-20,Inactive,4121.0,47.0,2328.0,1
25573,ID03149,48,Male,Kano,Middle,1,90,0,Cash Transfer,5395,Mobile Wallet,2020-01-11,Inactive,6969.0,56.0,3926.0,1
25604,ID03153,62,Female,Kano,Low,4,79,1,Cash Transfer,8391,Mobile Wallet,2021-07-29,Inactive,4626.0,46.0,3527.0,1
25636,ID03158,35,Male,Lagos,Middle,1,116,0,Cash Transfer,5163,Mobile Wallet,2023-01-18,Inactive,9755.0,6.0,5682.0,1
25642,ID03159,69,Female,Kano,Middle,5,158,0,Cash Transfer,4656,Mobile Wallet,2021-12-04,Inactive,6567.0,20.0,5000.0,1
25720,ID03173,32,Female,Kaduna,Low,7,94,1,Fuel,4995,Mobile Wallet,2019-05-30,Inactive,6342.0,41.0,5722.0,1
25830,ID03185,67,Male,Rivers,Low,2,140,0,Fuel,5986,Mobile Wallet,2020-02-15,Inactive,5543.0,83.0,2070.0,1
25872,ID03190,47,Male,Lagos,Middle,9,55,0,Cash Transfer,4671,Mobile Wallet,2020-09-06,Inactive,1054.0,57.0,4365.0,1
25876,ID03191,62,Male,Lagos,Low,6,89,1,Cash Transfer,8297,Mobile Wallet,2019-04-15,Inactive,3482.0,28.0,4892.0,1
25881,ID03191,62,Male,Lagos,Low,6,89,1,Cash Transfer,7380,Mobile Wallet,2022-06-03,Inactive,5825.0,24.0,5620.0,1
25889,ID03192,23,Male,Oyo,Low,4,105,1,Fuel,5664,Mobile Wallet,2023-07-11,Inactive,4604.0,56.0,4476.0,1
25890,ID03192,23,Male,Oyo,Low,4,105,1,Cash Transfer,6458,Mobile Wallet,2022-06-13,Suspicious,4784.0,50.0,4242.0,1
25938,ID03199,63,Male,Oyo,Low,6,116,1,Cash Transfer,7404,Mobile Wallet,2023-10-14,Inactive,4667.0,9.0,4827.0,1
25953,ID03201,68,Female,Yobe,Middle,3,84,0,Cash Transfer,4928,Mobile Wallet,2023-10-07,Inactive,2759.0,78.0,3895.0,1
25977,ID03202,22,Male,Yobe,Low,4,112,1,Fuel,4889,Mobile Wallet,2019-08-25,Inactive,6089.0,4.0,2888.0,1
26037,ID03212,43,Male,Oyo,Low,1,74,0,Fuel,4879,Mobile Wallet,2022-11-11,Inactive,3789.0,81.0,2844.0,1
26041,ID03212,43,Male,Oyo,Low,1,74,0,Fuel,4710,Mobile Wallet,2020-06-25,Inactive,1078.0,56.0,5000.0,1
26064,ID03215,56,Female,Kaduna,Low,6,101,1,Cash Transfer,8378,Mobile Wallet,2021-05-15,Inactive,2205.0,24.0,2804.0,1
26103,ID03222,58,Male,Kano,Low,9,116,1,Cash Transfer,6127,Mobile Wallet,2021-06-29,Inactive,2206.0,13.0,1330.0,1
26170,ID03232,41,Female,Kano,Low,1,73,0,Cash Transfer,7153,Mobile Wallet,2023-06-11,Inactive,5475.0,53.0,3114.0,1
26176,ID03232,41,Female,Kano,Low,1,73,0,Cash Transfer,7975,Mobile Wallet,2020-06-09,Inactive,8111.0,95.0,3661.0,1
26179,ID03232,41,Female,Kano,Low,1,73,0,Cash Transfer,8291,Mobile Wallet,2019-03-10,Inactive,4357.0,10.0,4728.0,1
26200,ID03235,47,Male,Lagos,Low,1,112,0,Fuel,4829,Mobile Wallet,2020-01-28,Inactive,4835.0,3.0,2228.0,1
26295,ID03248,30,Male,Kano,Low,1,91,0,Fuel,5897,Mobile Wallet,2023-12-01,Inactive,6553.0,59.0,1551.0,1
26312,ID03249,23,Male,Kano,Middle,5,120,0,Cash Transfer,5042,Mobile Wallet,2022-08-31,Inactive,2296.0,16.0,665.0,1
26318,ID03250,61,Male,Kano,Middle,3,68,0,Cash Transfer,5870,Mobile Wallet,2020-05-13,Suspicious,2193.0,73.0,4034.0,1
26323,ID03251,26,Male,Yobe,Middle,1,22,0,Cash Transfer,5445,Mobile Wallet,2020-10-05,Inactive,1127.0,85.0,5395.0,1
26345,ID03254,60,Female,Lagos,Low,5,164,1,Cash Transfer,6138,Mobile Wallet,2023-02-21,Inactive,6775.0,14.0,4150.0,1
26346,ID03254,60,Female,Lagos,Low,5,164,1,Cash Transfer,7008,Mobile Wallet,2022-12-10,Inactive,5490.0,46.0,5043.0,1
26354,ID03255,37,Male,Kaduna,Low,1,50,0,Fuel,5576,Mobile Wallet,2019-11-07,Inactive,5334.0,51.0,3817.0,1
26382,ID03258,38,Male,Oyo,Middle,9,114,0,Cash Transfer,5472,Mobile Wallet,2023-08-06,Suspicious,5125.0,99.0,5365.0,1
26397,ID03260,67,Female,Kaduna,Low,5,72,1,Cash Transfer,6759,Mobile Wallet,2023-08-07,Inactive,7385.0,87.0,5977.0,1
26405,ID03260,67,Female,Kaduna,Low,5,72,1,Fuel,5273,Mobile Wallet,2021-04-01,Inactive,4667.0,32.0,4301.0,1
26455,ID03266,35,Male,Oyo,Low,4,42,1,Cash Transfer,7724,Mobile Wallet,2019-06-10,Inactive,2672.0,89.0,3710.0,1
26475,ID03270,41,Female,Lagos,Low,6,108,1,Fuel,5044,Mobile Wallet,2021-12-11,Inactive,2843.0,47.0,6163.0,1
26482,ID03271,32,Male,Kano,Middle,9,111,0,Cash Transfer,5019,Mobile Wallet,2021-08-18,Inactive,4066.0,71.0,4692.0,1
26487,ID03272,65,Female,Lagos,Low,5,99,1,Cash Transfer,6339,Mobile Wallet,2019-11-16,Inactive,3648.0,4.0,3717.0,1
26495,ID03272,65,Female,Lagos,Low,5,99,1,Cash Transfer,8255,Mobile Wallet,2019-08-13,Inactive,6288.0,41.0,3894.0,1
26502,ID03274,38,Female,Lagos,Low,9,68,1,Fuel,4811,Mobile Wallet,2021-01-23,Suspicious,5686.0,77.0,2435.0,1
26503,ID03274,38,Female,Lagos,Low,9,68,1,Cash Transfer,6113,Mobile Wallet,2022-11-28,Suspicious,8153.0,81.0,2587.0,1
26527,ID03278,31,Female,Oyo,Low,5,67,1,Cash Transfer,7091,Mobile Wallet,2023-11-17,Inactive,2023.0,41.0,3734.0,1
26656,ID03292,38,Male,Kano,Middle,2,131,0,Cash Transfer,5452,Mobile Wallet,2020-09-06,Inactive,9535.0,53.0,4951.0,1
26667,ID03293,29,Female,Yobe,Low,8,62,1,Cash Transfer,7386,Mobile Wallet,2022-01-27,Inactive,6741.0,23.0,2468.0,1
26671,ID03293,29,Female,Yobe,Low,8,62,1,Fuel,4711,Mobile Wallet,2021-07-22,Inactive,3914.0,78.0,6373.0,1
26737,ID03301,50,Male,Kano,Middle,9,98,0,Cash Transfer,4940,Mobile Wallet,2022-08-24,Inactive,5892.0,20.0,2949.0,1
26847,ID03314,63,Female,Kano,Low,8,104,1,Cash Transfer,6480,Mobile Wallet,2022-11-12,Suspicious,8114.0,96.0,3450.0,1
26876,ID03318,27,Female,Kaduna,Low,9,95,1,Fuel,4854,Mobile Wallet,2023-04-01,Inactive,5970.0,3.0,2357.0,1
26878,ID03318,27,Female,Kaduna,Low,9,95,1,Cash Transfer,5686,Mobile Wallet,2019-02-10,Inactive,615.0,63.0,4168.0,1
26887,ID03320,22,Male,Rivers,Low,1,133,0,Cash Transfer,6842,Mobile Wallet,2020-06-21,Suspicious,5294.0,58.0,1093.0,1
26901,ID03322,39,Male,Rivers,Low,1,70,0,Fuel,4982,Mobile Wallet,2022-10-22,Suspicious,5658.0,70.0,6384.0,1
26902,ID03322,39,Male,Rivers,Low,1,70,0,Cash Transfer,5994,Mobile Wallet,2019-02-14,Inactive,3205.0,28.0,3992.0,1
26904,ID03322,39,Male,Rivers,Low,1,70,0,Cash Transfer,5939,Mobile Wallet,2021-04-03,Inactive,4973.0,78.0,4311.0,1
26915,ID03323,65,Female,Oyo,Middle,6,61,0,Cash Transfer,5526,Mobile Wallet,2019-10-21,Suspicious,9409.0,45.0,4420.0,1
26947,ID03325,27,Female,Kano,Low,7,42,1,Cash Transfer,7096,Mobile Wallet,2019-04-02,Suspicious,6988.0,54.0,1191.0,1
26950,ID03326,51,Male,Yobe,Middle,8,24,0,Cash Transfer,5106,Mobile Wallet,2023-09-21,Inactive,2769.0,47.0,5127.0,1
26992,ID03331,39,Male,Rivers,Low,8,75,1,Cash Transfer,5788,Mobile Wallet,2022-03-13,Suspicious,4517.0,38.0,2948.0,1
26999,ID03331,39,Male,Rivers,Low,8,75,1,Cash Transfer,5653,Mobile Wallet,2020-04-14,Suspicious,1516.0,54.0,6160.0,1
27009,ID03333,41,Female,Rivers,Low,1,81,0,Cash Transfer,7790,Mobile Wallet,2021-09-20,Suspicious,4901.0,20.0,3475.0,1
27076,ID03341,49,Female,Yobe,Low,4,112,1,Fuel,5132,Mobile Wallet,2021-11-15,Inactive,5589.0,41.0,3714.0,1
27088,ID03342,24,Female,Yobe,Low,6,63,1,Fuel,4982,Mobile Wallet,2020-03-12,Suspicious,4499.0,71.0,4566.0,1
27101,ID03343,38,Female,Lagos,Low,9,67,1,Fuel,5200,Mobile Wallet,2021-03-27,Suspicious,4355.0,67.0,2290.0,1
27123,ID03346,21,Female,Kano,Low,9,65,1,Cash Transfer,5995,Mobile Wallet,2022-02-18,Inactive,2942.0,62.0,4563.0,1
27135,ID03348,69,Female,Rivers,Low,6,22,1,Cash Transfer,6993,Mobile Wallet,2022-05-05,Inactive,4342.0,43.0,5349.0,1
27139,ID03348,69,Female,Rivers,Low,6,22,1,Fuel,5649,Mobile Wallet,2021-03-18,Inactive,4195.0,70.0,4141.0,1
27142,ID03349,39,Male,Kaduna,Low,5,115,1,Cash Transfer,5963,Mobile Wallet,2021-03-28,Inactive,8506.0,68.0,2918.0,1
27161,ID03350,32,Male,Lagos,Low,3,131,0,Cash Transfer,7253,Mobile Wallet,2021-04-16,Inactive,5572.0,19.0,3088.0,1
27166,ID03350,32,Male,Lagos,Low,3,131,0,Cash Transfer,8318,Mobile Wallet,2020-10-21,Suspicious,4248.0,31.0,3770.0,1
27228,ID03358,44,Female,Rivers,Low,3,96,0,Cash Transfer,6794,Mobile Wallet,2023-09-12,Inactive,6326.0,74.0,3164.0,1
27294,ID03364,19,Male,Kano,Low,6,124,1,Cash Transfer,6546,Mobile Wallet,2019-09-06,Inactive,5313.0,67.0,5900.0,1
27338,ID03368,61,Female,Lagos,Middle,4,71,0,Cash Transfer,4566,Mobile Wallet,2023-02-25,Inactive,6444.0,72.0,3174.0,1
27371,ID03373,23,Female,Kaduna,Low,5,111,1,Cash Transfer,7167,Mobile Wallet,2021-01-15,Inactive,5553.0,98.0,4053.0,1
27381,ID03374,56,Female,Yobe,Low,4,46,1,Cash Transfer,6115,Mobile Wallet,2022-02-20,Inactive,5426.0,11.0,4930.0,1
27415,ID03378,67,Female,Kano,Low,7,96,1,Cash Transfer,7187,Mobile Wallet,2020-08-07,Inactive,3232.0,90.0,5637.0,1
27420,ID03378,67,Female,Kano,Low,7,96,1,Cash Transfer,7180,Mobile Wallet,2023-07-30,Inactive,4507.0,86.0,1881.0,1
27443,ID03382,68,Male,Kano,Low,6,95,1,Fuel,5617,Mobile Wallet,2021-06-04,Inactive,5926.0,38.0,3615.0,1
27468,ID03385,27,Female,Kaduna,Low,5,135,1,Cash Transfer,5909,Mobile Wallet,2019-12-09,Suspicious,4944.0,45.0,4345.0,1
27477,ID03386,25,Male,Rivers,Low,8,98,1,Cash Transfer,7710,Mobile Wallet,2019-09-22,Inactive,4525.0,47.0,5362.0,1
27488,ID03387,41,Male,Oyo,Low,3,119,0,Fuel,4815,Mobile Wallet,2019-04-06,Suspicious,2260.0,46.0,5483.0,1
27511,ID03389,58,Male,Kano,Low,1,84,0,Cash Transfer,8192,Mobile Wallet,2023-04-07,Inactive,5908.0,10.0,5713.0,1
27541,ID03392,38,Female,Rivers,Low,2,108,0,Cash Transfer,6057,Mobile Wallet,2020-12-08,Inactive,6627.0,49.0,4101.0,1
27564,ID03393,25,Female,Lagos,Low,1,80,0,Cash Transfer,6724,Mobile Wallet,2022-04-08,Suspicious,5148.0,11.0,2930.0,1
